id,DATE,PCC_SITENAME,PCC_AUDIENCE,PCC_UNIT_TYPE,PCC_PLATFORM_DEVICE,CREATIVE_NAME,CREATIVE_TYPE,CREATIVE_PLACEMENT,CAMPAIGN_GROUP,HEADLINE,BODY,COST,CLICKS,IMPRESSIONS,ENGAGEMENTS,LIKES,SHARES,LEADS,FOLLOWS,COMMENTS,REACTIONS,LANDING_PAGE_CLICKS,
28,5/28/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,5783,0,0,0,0,0,0,0,0,
29,5/13/2022,LINKEDIN,Native,Banner,Desktop,Native_Native_Retirement_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,0,1,0,0,0,0,0,0,0,
30,5/13/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,0,0,0,0,0,0,0,0,0,
31,5/13/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,0,0,0,0,0,0,0,0,0,
32,5/13/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,0,0,0,0,0,0,0,0,0,0,0,
33,5/13/2022,LINKEDIN,Native,Banner,Desktop,Native_Native_Freedom_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,111.51,7,0,9,0,0,0,0,0,0,7,
34,5/13/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,7,11,0,28,1,0,0,0,0,1,11,
35,5/14/2022,LINKEDIN,Native,Banner,Desktop,Native_Native_Retirement_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,0,0,0,0,0,0,0,0,0,
36,5/14/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,0,0,0,0,0,0,0,0,0,
37,5/14/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,0,0,0,0,0,0,0,0,0,
38,5/14/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,0,0,0,1,1,0,0,0,0,1,0,
39,5/14/2022,LINKEDIN,Native,Banner,Desktop,Native_Native_Freedom_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,49.54,3,0,4,0,0,0,0,0,0,3,
40,5/14/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,7,13,0,7,3,0,0,0,0,3,13,
41,5/17/2022,LINKEDIN,Native,Banner,Desktop,Native_Native_Retirement_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,0,0,0,0,0,0,0,0,0,
42,5/17/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,0,0,0,0,0,0,0,0,0,
43,5/17/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,0,0,0,0,0,0,0,0,0,
44,5/17/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,9.5886,1,0,2,1,0,0,0,0,1,1,
45,5/17/2022,LINKEDIN,Native,Banner,Desktop,Native_Native_Freedom_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,353.54,34,0,56,0,0,0,0,0,0,34,
46,5/17/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,658.7214,61,0,110,9,0,0,0,0,9,61,
47,5/19/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,0,0,0,1,1,0,0,0,0,1,0,
48,5/19/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,9.2872,1,0,2,1,0,0,0,0,1,1,
49,5/19/2022,LINKEDIN,Native,Banner,Desktop,Native_Native_Freedom_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,52.4782,3,0,5,1,0,0,0,0,1,3,
50,5/19/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,103.9365,5,0,11,0,0,0,0,0,0,5,
51,5/19/2022,LINKEDIN,Native,Banner,Desktop,Native_Native_Retirement_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,278.8318,18,0,31,1,0,0,0,0,1,18,
52,5/19/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,464.9863,30,0,69,4,0,0,0,0,4,30,
53,5/16/2022,LINKEDIN,Native,Banner,Desktop,Native_Native_Retirement_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,0,0,0,0,0,0,0,0,0,
54,5/16/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,0,0,0,0,0,0,0,0,0,
55,5/16/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,0,0,0,0,0,0,0,0,0,
56,5/16/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,0,0,0,0,0,0,0,0,0,0,0,
57,5/16/2022,LINKEDIN,Native,Banner,Desktop,Native_Native_Freedom_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,369.99,20,0,24,0,0,0,0,0,0,20,
58,5/16/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,675.45,43,0,87,6,0,0,0,0,6,43,
59,5/25/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,0,0,0,0,0,0,0,0,0,
60,5/25/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,0,0,0,0,0,0,0,0,0,0,0,
61,5/25/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,24.7733,2,0,8,0,0,0,0,0,0,2,
62,5/25/2022,LINKEDIN,Native,Banner,Desktop,Native_Native_Retirement_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,55.9646,3,0,3,0,0,0,0,0,0,3,
63,5/25/2022,LINKEDIN,Native,Banner,Desktop,Native_Native_Freedom_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,87.8254,6,0,6,0,0,0,0,0,0,6,
64,5/25/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,396.1567,30,0,70,5,0,0,0,0,5,30,
65,5/30/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,0,0,0,0,0,0,0,0,0,0,0,
66,5/30/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,0,0,0,0,0,0,0,0,0,
67,5/30/2022,LINKEDIN,Native,Banner,Cross Device,Native_Native_Freedom_Lifestyle_Static_1201x629_Learn More_Lead Gen RRQ,Sponsored Status Update,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,9.6035,1,0,2,0,0,0,0,0,0,1,
68,5/30/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,41.6907,3,0,5,0,0,0,0,0,0,3,
69,5/30/2022,LINKEDIN,Native,Banner,Cross Device,Native_Native_Retirement_Lifestyle_Static_1201x629_Learn More_Lead Gen RRQ,Sponsored Status Update,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,190.9165,11,0,16,0,0,0,0,0,0,11,
70,5/30/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen RRQ,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,490.8393,32,0,68,0,0,0,0,0,0,32,
71,5/18/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,0,1,0,0,0,0,0,0,0,
72,5/18/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,5.7332,1,0,1,0,0,0,0,0,0,1,
73,5/18/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,38.6339,2,0,2,0,0,0,0,0,0,2,
74,5/18/2022,LINKEDIN,Native,Banner,Desktop,Native_Native_Retirement_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,147.9029,9,0,15,1,0,0,0,0,1,9,
75,5/18/2022,LINKEDIN,Native,Banner,Desktop,Native_Native_Freedom_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,179.1871,11,0,19,1,0,0,0,0,1,11,
76,5/18/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,648.6829,49,0,110,7,0,0,0,0,7,49,
77,5/21/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,0,0,0,0,0,0,0,0,0,
78,5/21/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,10.8072,1,0,3,1,0,0,0,0,1,1,
79,5/21/2022,LINKEDIN,Native,Banner,Desktop,Native_Native_Freedom_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update,Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,25.0328,2,0,3,0,0,0,0,0,0,2,
80,5/21/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,32.6396,2,0,8,0,0,0,0,0,0,2,
81,5/21/2022,LINKEDIN,Native,Banner,Desktop,Native_Native_Retirement_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,159.6472,12,0,19,0,0,0,0,0,0,12,
82,5/21/2022,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen V2,Sponsored Video,Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,296.6832,24,0,49,2,0,0,0,0,2,24,
